"presence","x","y","cells","chl_mean_surf","o2_mean_surf","sithick_mean_surf","sithick_min_surf","sws_mean_surf","so_mean_benth","sws_mean_benth","sws_min_benth","sws_max_benth","aspect","bathymetry_mean","terrain_ruggedness_index","selected","fold"
0,139.075004716469,-54.0750005932334,2274382,0.342892736196518,325.177337646484,0,0,0.122189752757549,34.7056121826172,0.0113792913034558,0.0580410920083523,0.0312803871929646,281.780975341797,-3539.33325195312,48.5625610351562,TRUE,2
0,171.275005808471,-54.0750005932334,2275026,0.318248867988586,288.581848144531,0,0,0.279200792312622,34.3331489562988,0.169445186853409,0.0310993101447821,0.293744087219238,299.694244384766,-858.166687011719,136.565948486328,TRUE,2
0,-143.575004869078,-54.125000590282,2275929,0.363579958677292,301.736236572266,0,0,0.120664544403553,34.7270355224609,0.0466632544994354,0.303375333547592,0.181425139307976,281.730987548828,-3451.08325195312,80.1215515136719,TRUE,2
0,-101.07500342777,-54.125000590282,2276779,0.375491857528687,305.019805908203,0,0,0.117826193571091,34.7115097045898,0.00441349064931273,0.06035016477108,0.0691327452659607,271.255279541016,-4520.72216796875,29.8888549804688,TRUE,2
0,-87.1250029546815,-54.125000590282,2277058,0.356817364692688,306.761901855469,0,0,0.0512448661029339,34.7075653076172,0.00298571307212114,0.0570888370275497,0.0434027723968029,229.766708374023,-4892.08349609375,125.763793945312,TRUE,1
0,-24.7750008401978,-54.125000590282,2278305,0.339772492647171,352.783599853516,0.00458570150658488,0,0.0779672563076019,34.6636657714844,0.0120770633220673,0.132340803742409,0.141568332910538,346.930206298828,-4506,33.99658203125,TRUE,1
0,-22.9750007791542,-54.125000590282,2278341,0.326339721679688,346.988952636719,0.00378064764663577,0,0.106269054114819,34.6680030822754,0.0166832525283098,0.0719643533229828,0.119296386837959,68.7877502441406,-4116.08349609375,355.427093505859,TRUE,2
0,-9.67500032810955,-54.125000590282,2278607,0.324081420898438,352.872100830078,0.0120627228170633,0,0.097322553396225,34.6820411682129,0.0108573539182544,0.0504338927567005,0.0601509623229504,264.646087646484,-3302.72216796875,38.53125,TRUE,1
0,3.32500011276116,-54.125000590282,2278867,0.40134260058403,356.052490234375,0.0513183325529099,0,0.0616129413247108,34.6961555480957,0.00627926690503955,0.0599288530647755,0.0710730105638504,151.108139038086,-1402.38891601562,123.659713745117,TRUE,1
0,29.1750009894156,-54.125000590282,2279384,0.411581158638,345.055419921875,0.00321891298517585,0,0.11604343354702,34.659725189209,0.0716487020254135,0.0599016845226288,0.239269480109215,137.336715698242,-4556.8056640625,268.531188964844,TRUE,2
